symbol,side,entry_time,entry_price,exit_time,exit_price,reason,pnl,label
ETH/USDT,LONG,"2025-07-07 13:48:56,935",2556.790000,"2025-07-07 16:21:35,650",2516.310000,TP1,-0.015832,0
BNB/USDT,LONG,"2025-07-07 13:48:58,183",661.350000,"2025-07-08 12:19:51,185",661.190000,TP2,-0.000242,0
WIF/USDT,LONG,"2025-07-07 13:49:05,663",0.853600,"2025-07-07 15:13:19,906",0.847900,TP1,-0.006678,0
DOGE/USDT,LONG,"2025-07-07 13:55:37,118",0.169780,"2025-07-07 16:21:41,877",0.167150,SL,-0.015491,0
ZRX/USDT,LONG,"2025-07-07 13:57:03,386",0.219800,"2025-07-07 16:21:49,377",0.217200,SL,-0.011829,0
SOL/USDT,LONG,"2025-07-07 13:58:10,911",152.770000,"2025-07-07 15:47:25,365",151.360000,SL,-0.009230,0
LDO/USDT,SHORT,"2025-07-07 14:08:55,009",0.740400,"2025-07-07 16:21:51,873",0.727300,SL,0.017693,1
ETH/USDT,SHORT,"2025-07-07 14:19:10,441",2541.070000,"2025-07-07 16:21:35,650",2516.310000,TP1,0.009744,1
MEME/USDT,SHORT,"2025-07-07 14:19:17,959",0.001536,"2025-07-07 14:35:10,934",0.001522,TP1,0.009115,1
ALGO/USDT,SHORT,"2025-07-07 14:30:00,161",0.176100,"2025-07-07 16:21:48,132",0.174300,TP1,0.010221,1
WIF/USDT,LONG,"2025-07-07 14:41:46,246",0.840500,"2025-07-07 15:13:19,906",0.847900,TP1,0.008804,1
XRP/USDT,LONG,"2025-07-07 15:26:23,765",2.339400,"2025-07-07 16:21:39,387",2.322600,SL,-0.007181,0
LINK/USDT,LONG,"2025-07-07 15:26:31,241",13.546000,"2025-07-07 16:21:46,884",13.425000,SL,-0.008933,0
SOL/USDT,LONG,"2025-07-07 15:32:56,298",152.200000,"2025-07-07 15:47:25,365",151.360000,SL,-0.005519,0
POPCAT/USDT,LONG,"2025-07-07 15:35:41,516",0.294000,"2025-07-07 15:37:00,265",0.292300,SL,-0.005782,0
CAKE/USDT,SHORT,"2025-07-07 15:39:32,792",2.261800,"2025-07-08 10:14:57,525",2.256200,SL,0.002476,1
LDO/USDT,LONG,"2025-07-07 15:42:21,462",0.731300,"2025-07-07 16:21:51,873",0.727300,SL,-0.005470,0
POPCAT/USDT,LONG,"2025-07-07 15:43:33,956",0.292400,"2025-07-07 16:03:23,252",0.289600,SL,-0.009576,0
OP/USDT,LONG,"2025-07-07 15:43:38,947",0.539200,"2025-07-08 10:24:20,196",0.537400,TP1,-0.003338,0
ZRX/USDT,LONG,"2025-07-07 15:44:56,414",0.218800,"2025-07-07 16:21:49,377",0.217200,SL,-0.007313,0
DOGE/USDT,LONG,"2025-07-07 15:58:04,651",0.168480,"2025-07-07 16:21:41,877",0.167150,SL,-0.007894,0
BTC/USDT,SHORT,"2025-07-07 16:00:34,627",108254.700000,"2025-07-09 12:10:46,462",109353.400000,SL,-0.010149,0
BNB/USDT,SHORT,"2025-07-07 16:03:14,534",658.700000,"2025-07-08 12:19:51,185",661.190000,TP2,-0.003780,0
POPCAT/USDT,SHORT,"2025-07-07 16:04:41,962",0.290600,"2025-07-07 16:09:57,120",0.292200,SL,-0.005506,0
POPCAT/USDT,LONG,"2025-07-07 16:15:12,057",0.290900,"2025-07-07 16:21:45,634",0.289100,SL,-0.006188,0
XRP/USDT,LONG,"2025-07-07 16:22:58,103",2.331100,"2025-07-08 12:34:41,136",2.302700,SL,-0.012183,0
DOGE/USDT,SHORT,"2025-07-07 16:23:00,610",0.167680,"2025-07-08 10:43:52,533",0.169970,TP1,-0.013657,0
MEME/USDT,SHORT,"2025-07-07 16:23:01,857",0.001515,"2025-07-07 16:26:58,257",0.001524,SL,-0.005941,0
LINK/USDT,SHORT,"2025-07-07 16:23:05,597",13.436000,"2025-07-08 13:57:30,816",13.612000,TP1,-0.013099,0
ZRX/USDT,SHORT,"2025-07-07 16:23:08,098",0.217500,"2025-07-08 10:17:45,326",0.217000,TP1,0.002299,1
LDO/USDT,SHORT,"2025-07-07 16:23:10,587",0.727200,"2025-07-08 16:25:59,740",0.711200,TP1,0.022002,1
POPCAT/USDT,SHORT,"2025-07-07 16:24:23,085",0.290000,"2025-07-08 09:06:47,322",0.283500,SL,0.022414,1
MEME/USDT,LONG,"2025-07-07 16:28:16,974",0.001525,"2025-07-08 10:17:39,098",0.001511,TP1,-0.009180,0
ALGO/USDT,LONG,"2025-07-08 08:36:39,054",0.173600,"2025-07-08 10:37:25,222",0.175000,TP1,0.008065,1
