ATR_14,EMA_50,EMA_200,RSI_14,MACD_12_26_9,MACDs_12_26_9,BB_middle,BB_width,VOLUME_EMA,KAMA_10_2_30,CMF_20,RVI_14,volume,label
0.002037,0.293233,0.288027,53.46563,0.0012,0.001498,0.296125,-0.028542,1942549.17511,0.297117,-0.001999,49.965518,3086370.1,0
0.002113,0.293283,0.288091,47.781869,0.000969,0.001392,0.296245,-0.026225,2141814.406052,0.29684,-0.044091,45.869357,4034834.1,0
0.002169,0.293397,0.288172,55.069043,0.000912,0.001296,0.296425,-0.023666,2050252.186428,0.296787,-0.039119,50.11128,1180411.1,0
0.002129,0.293519,0.288254,56.229883,0.000881,0.001213,0.2966,-0.021148,2008555.768673,0.296777,-0.026443,53.970911,1612439.8,0
0.002119,0.29362,0.288333,54.218487,0.000815,0.001134,0.29677,-0.017481,1936715.609752,0.29676,-0.025949,49.539036,1254234.1,0
0.002075,0.293686,0.288402,50.340033,0.00069,0.001045,0.296865,-0.014842,1839790.87549,0.296712,-0.028911,45.147799,919005.9,0
0.002048,0.293773,0.288476,53.05253,0.000632,0.000962,0.296785,-0.014967,1806468.534967,0.296699,-0.080587,49.097838,1489906.3,0
0.002023,0.293876,0.288555,55.246321,0.000619,0.000894,0.296705,-0.014523,1757988.493542,0.296696,-0.083513,52.357611,1297428.1,0
0.002022,0.293904,0.288615,46.772806,0.000459,0.000807,0.29649,-0.014117,1691127.237014,0.296631,-0.19794,48.402998,1055945.3,1
0.00202,0.293987,0.288689,52.832409,0.000439,0.000733,0.29638,-0.013145,1619212.233489,0.296627,-0.125641,52.450445,936019.7,0
0.00204,0.294132,0.288779,58.944471,0.000555,0.000698,0.29641,-0.013555,1587835.296966,0.296662,-0.11905,57.070219,1289754.4,0
0.001994,0.294296,0.288873,60.871653,0.000687,0.000695,0.296455,-0.014384,1613213.782969,0.296807,-0.141678,62.256832,1854309.4,0
0.002088,0.294366,0.288945,51.353048,0.000607,0.000678,0.29632,-0.012442,1651476.23221,0.296804,-0.226366,54.639855,2014969.5,1
0.002146,0.294356,0.288997,44.535114,0.000378,0.000618,0.296135,-0.013181,1701254.076762,0.296711,-0.230494,47.126799,2174143.6,1
0.002371,0.294522,0.289092,58.035256,0.000553,0.000605,0.296215,-0.014868,1687300.583737,0.296758,-0.156925,55.409931,1554742.4,0
0.002359,0.29469,0.289189,58.518511,0.0007,0.000624,0.29633,-0.016692,1808328.709095,0.29684,-0.113057,62.576476,2958095.9,0
0.002397,0.294761,0.289261,51.21441,0.000624,0.000624,0.296325,-0.01668,1780560.022515,0.296838,-0.166462,52.799748,1516757.5,1
0.002405,0.294767,0.289318,46.834951,0.000429,0.000585,0.29623,-0.017123,1783075.925132,0.296813,-0.190774,44.436035,1806977.0,1
0.002462,0.294682,0.28935,41.359765,8.8e-05,0.000486,0.296055,-0.020201,2001229.417977,0.296743,-0.245635,36.380122,4073687.6,0
